candidate,AccHR_mean,AccHR_std,AccHR_min,AccHR_max,n_windows
"Gao et al. architecture (ZI-Tweedie, GRU->GAT, 2-layer/42), SHORT history",0.4895820614570614,0.12705229122562323,0.3333333333333333,0.673611111111111,6
"Gao et al. architecture, LONG history (the key test)",0.6164631664631665,0.08741694038669727,0.4930555555555555,0.7291666666666666,6
"This project's architecture, SHORT history",0.6531046499796499,0.061175432868437185,0.579861111111111,0.7369047619047617,6
"This project's architecture, LONG history (final model)",0.8392946174196173,0.04710061634400468,0.7714285714285715,0.9097222222222222,6
