candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
best + MULTI-YEAR history (730d/1095d/1825d added),0.0005299599724821746,0.015314733609557152,0.9997652715736762,0.8159722222222222,0.9984769821166992,0.9997652715736762,0.0008194773108698428,0.8968688650524939,2023-07-15,6
best + MULTI-YEAR history (730d/1095d/1825d added),0.0004880141350440681,0.014356222935020924,0.9997937235041398,0.819047619047619,0.9985525012016296,0.9997937235041398,0.0008879283559508622,0.8998420917859277,2023-10-13,7
best + MULTI-YEAR history (730d/1095d/1825d added),0.0005343356169760227,0.016426250338554382,0.9997297066605969,0.8285714285714285,0.9985520243644714,0.9997297066605969,0.0008988863555714488,0.8969542208438842,2024-01-11,8
best + MULTI-YEAR history (730d/1095d/1825d added),0.000561336288228631,0.016430441290140152,0.9997297066605969,0.7714285714285715,0.9987221956253052,0.9997297066605969,0.001090737758204341,0.9034697129200217,2024-04-10,9
best + MULTI-YEAR history (730d/1095d/1825d added),0.0005291214329190552,0.015767676755785942,0.9997510456084445,0.891025641025641,0.9982923269271851,0.9997510456084445,0.0008239300223067403,0.9050843599738242,2024-07-09,10
best + MULTI-YEAR history (730d/1095d/1825d added),0.0005146193434484303,0.015764757990837097,0.9997510456084445,0.9097222222222222,0.9981706738471985,0.9997510456084445,0.0007579727680422366,0.904216576094688,2024-10-07,11
