candidate,AccHR_mean,AccHR_std,AccHR_min,AccHR_max,n_windows
12 features (geometry + crash history only),0.846966575091575,0.06980844429374437,0.7256944444444443,0.9305555555555555,6
17 features (+ casualty breakdown),0.8460889804639805,0.07104392178924969,0.7256944444444443,0.9423076923076923,6
20 features (+ traffic exposure),0.7988769332519331,0.0663812615113482,0.6840277777777777,0.8819444444444443,6
25 features (+ POI),0.8341498778998778,0.06361495563295282,0.7214285714285714,0.9102564102564101,6
35 features (+ socio-demographic = FINAL),0.8392946174196173,0.04710061634400468,0.7714285714285715,0.9097222222222222,6
