candidate,AccHR_mean,AccHR_std,AccHR_min,AccHR_max,n_windows
"Gao et al. architecture (ZI-Tweedie, GRU->GAT, 2-layer/42), SHORT history",0.45752897895755035,0.09223412954548105,0.37307692307692303,0.6452380952380952,6
"Gao et al. architecture, LONG history (the key test)",0.7079024150452721,0.08798816512655397,0.6217948717948718,0.8803030303030301,6
"This project's architecture, SHORT history",0.7016790748933607,0.06860742806955335,0.6301020408163265,0.8318681318681319,6
"This project's architecture, LONG history (final model)",0.7987270665842096,0.06328486371102685,0.7371794871794872,0.8984848484848484,6
