candidate,AccHR_mean,AccHR_std,AccHR_min,AccHR_max,n_windows
13 features (V10 best simple model),0.7578877471734615,0.05979712376040873,0.6410256410256411,0.8197802197802199,6
13 features + road class (8 one-hot),0.7541692434549577,0.042199746030941676,0.6974358974358974,0.8318181818181819,6
35 features (FINAL),0.7987270665842096,0.06328486371102685,0.7371794871794872,0.8984848484848484,6
35 features + road class,0.8211855604712749,0.058079662260991795,0.717687074829932,0.8826530612244897,6
