candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
"ARCHITECTURE ENSEMBLE: rank-average of hidden 16/32, 42/42, and 2-layer",0.4998522472286678,0.5606516893240613,0.521959542699453,0.7424242424242423,0.21444314393861608,0.9997412901000345,0.0006054599652998149,0.8622739368255063,2023-07-15,6
"ARCHITECTURE ENSEMBLE: rank-average of hidden 16/32, 42/42, and 2-layer",0.49992643722462904,0.5592480939282962,0.562804908096388,0.5576923076923077,0.2788430517624136,0.9998336864928793,0.0006579846958629787,0.9020043857487804,2023-10-13,7
"ARCHITECTURE ENSEMBLE: rank-average of hidden 16/32, 42/42, and 2-layer",0.4999361996953061,0.5560298526696774,0.5757219238160942,0.6333333333333333,0.3081926543476062,0.9998336864928793,0.0006210117717273533,0.8999285467895334,2024-01-11,8
"ARCHITECTURE ENSEMBLE: rank-average of hidden 16/32, 42/42, and 2-layer",0.49987452684068867,0.5574127234570155,0.5804895776868871,0.7628205128205128,0.2170859086771118,0.9997782486571725,0.0006334706558845937,0.8997807125609816,2024-04-10,9
"ARCHITECTURE ENSEMBLE: rank-average of hidden 16/32, 42/42, and 2-layer",0.4998845480265781,0.5628113872109654,0.509381313753511,0.5428571428571428,0.21601613373929024,0.9997967279357414,0.0005982172442600131,0.9026450007391711,2024-07-09,10
"ARCHITECTURE ENSEMBLE: rank-average of hidden 16/32, 42/42, and 2-layer",0.49986144675912575,0.5593096746105641,0.5553700783521411,0.6833333333333331,0.22569161784761443,0.9997474498595574,0.0005401333328336477,0.9020659833440102,2024-10-07,11
