candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
heads=3 + POI + socio + REAL OS network + ROAD CLASS (8) + DATE (4) features,0.000454998662462458,0.016080142930150032,0.9997412901000345,0.6333333333333333,0.9996131062507629,0.9997412901000345,0.0006344249122776091,0.9188759670822451,2023-07-15,6
heads=3 + POI + socio + REAL OS network + ROAD CLASS (8) + DATE (4) features,0.0003710779710672796,0.012894419953227043,0.9998336864928793,0.6602564102564104,0.9996581673622131,0.9998336864928793,0.0006402648286893964,0.897464642980338,2023-10-13,7
heads=3 + POI + socio + REAL OS network + ROAD CLASS (8) + DATE (4) features,0.00039697589818388224,0.01289430633187294,0.9998336864928793,0.5750000000000001,0.9996094107627869,0.9998336864928793,0.0006578002357855439,0.8614731680875178,2024-01-11,8
heads=3 + POI + socio + REAL OS network + ROAD CLASS (8) + DATE (4) features,0.0004892878932878375,0.014883934520184994,0.9997782486571725,0.6538461538461539,0.998921275138855,0.9997782486571725,0.0007085735560394824,0.8825703444537525,2024-04-10,9
heads=3 + POI + socio + REAL OS network + ROAD CLASS (8) + DATE (4) features,0.00043210925650782883,0.014250907115638256,0.9997967279357414,0.5904761904761904,0.998938262462616,0.9997967279357414,0.0007183869602158666,0.9206068595082048,2024-07-09,10
heads=3 + POI + socio + REAL OS network + ROAD CLASS (8) + DATE (4) features,0.0004591451433952898,0.01588428020477295,0.9997474498595574,0.7115384615384615,0.999161422252655,0.9997474498595574,0.0006152567220851779,0.9141822303257281,2024-10-07,11
