borough,n,small,full,diff,wins,t_p,w_p
Lambeth,6,78.77252377252377,79.760841010841,-0.9883172383172415,2,0.34731423075587187,0.3125
Tower Hamlets,6,84.6966575091575,83.92946174196173,0.7671957671957663,3,0.7728443915913478,1.0
Westminster,6,75.78877471734616,79.87270665842095,-4.0839319410748,2,0.09185060633201195,0.15625
POOLED,18,79.7526519996758,81.18766980374123,-1.435017804065425,7,0.22931522120007677,0.17729327255318428
