borough,n_seeds,mean,sd,ci_lo,ci_hi,gao,p,verdict
Westminster,5,79.74908028479457,0.8908830374763687,78.64290289054975,80.8552576790394,68.98,1.1138508891057099e-05,better
Tower Hamlets,5,82.75106837606837,2.1298243653863165,80.10654213907101,85.39559461306574,72.24,0.000383345612195554,better
Lambeth,5,77.75292762792762,1.668468569076524,75.68125027357075,79.82460498228448,76.59,0.19410717896288132,tie
POOLED,15,80.0843587629302,2.6152173072673546,78.63609969098455,81.53261783487584,72.6,2.5741653333802958e-08,better
