baseline,baseline_score,reference_score,diff,p,reference_wins,n
crash-count sort (~8yr),83.93895181097561,64.4499526047145,-19.488999206261116,7.131529512240375e-07,0,18
sort capped to 5yr,80.98771158294969,64.4499526047145,-16.53775897823517,1.3046868640886256e-05,2,18
Empirical Bayes (HSM),83.84052785838499,64.4499526047145,-19.390575253670495,1.287499380675311e-06,1,18
