borough,window,crashes,days,min_step,max_step,observed_diff
Westminster,2023-07-15,52,14,0.01020408163265306,0.07142857142857142,
Westminster,2023-10-13,59,14,0.01020408163265306,0.03571428571428571,0.0119
Westminster,2024-01-11,29,11,0.018181818181818184,0.09090909090909091,
Westminster,2024-04-10,34,13,0.01282051282051282,0.07692307692307693,
Westminster,2024-07-09,41,13,0.010989010989010988,0.07692307692307693,
Westminster,2024-10-07,46,13,0.01282051282051282,0.07692307692307693,
