claim,n,diff,wins,t_p,w_p
reference vs crash-count sort (~8yr),18,-17.36592463973416,0,3.748433136463618e-10,7.62939453125e-06
reference vs sort capped to 5yr,18,-14.41468441170822,0,7.120712677735147e-08,7.62939453125e-06
reference vs Empirical Bayes (HSM),18,-17.267500687143546,0,1.6873222256815271e-09,7.62939453125e-06
ours vs theirs (paired on seed+window),90,13.511331591688736,81,1.3837508742874342e-17,4.076980092319681e-14
