borough,seeds,n_windows,base,deep,diff,wins,t_p,w_p
Lambeth,5,6,77.74666666666667,77.29005716505716,-0.4566095016095025,2,0.7014623719211921,0.6875
Westminster,2,6,80.62499999999999,80.95976444190728,0.3347644419073056,4,0.677929696887856,0.5625
