borough,gnn_gain,gnn_p,gnn_wins,n,sort_gain,sort_p
Lambeth,-0.7246919746919767,0.7437600532791255,3.0,6.0,2.383172383172388,0.35710910762528236
Westminster,2.9777167277167265,0.02297885211333535,5.0,6.0,4.793579436436573,0.14546780655810418
Tower Hamlets,,,,,1.6769688644688658,0.4304152421565534
