lookback_days,Lambeth,Westminster,Tower Hamlets,mean
30,0.21861494986494986,0.23707701029129602,0.225627035002035,0.22710633171942696
90,0.30333809708809706,0.34780517101945674,0.31441926129426123,0.32185417646727166
180,0.3840122840122841,0.4413417931275075,0.4228683353683354,0.416074137502709
365,0.5049919987419987,0.5425691372119944,0.5774216524216524,0.5416609294585485
730,0.6025573963073962,0.6813174920317778,0.7065845034595034,0.6634864639328925
1095,0.7057898120398121,0.7171923314780457,0.7903540903540903,0.7377787446239826
1825,0.808132608132608,0.7646000824572253,0.8568986568986569,0.8098771158294967
2555,0.8362378362378363,0.7929019393305109,0.876663614163614,0.8352677965773204
3285,0.8319643319643321,0.8125358768215912,0.8736683455433454,0.8393895181097563
