borough,n,theirs_short,theirs_long,ours_short,ours_long,gap_short,gap_long,substitution,p,theirs_gains,ours_gains
Lambeth,6,59.92845117845117,60.91329966329967,78.93527768527768,79.44032819032819,19.006826506826506,18.52702852702853,-0.47979797979797734,0.3632174676491229,0.9848484848484838,0.5050505050505065
Westminster,6,45.75289789575503,70.7902415045272,70.16790748933607,79.87270665842095,24.41500959358102,9.082465153893732,-15.33254443968729,0.009325886506915652,25.037343608772183,9.70479916908489
Tower Hamlets,6,48.95820614570614,61.64631664631665,65.31046499796498,83.92946174196173,16.35225885225885,22.283145095645096,5.930886243386247,0.20475862806186335,12.6881105006105,18.61899674399675
