state,lookback_months,lookback_years,AccHR,n_months
DE,1,0.08333333333333333,0.8775286949104176,24
DE,3,0.25,0.8680523196652165,24
DE,6,0.5,0.8645393944578096,24
DE,12,1.0,0.879618318646877,24
DE,24,2.0,0.900138045426291,24
DE,36,3.0,0.9070117050702914,24
DE,60,5.0,0.9188835631018478,24
DE,84,7.0,0.9273022086586984,24
DE,108,9.0,0.9287630252645481,24
DE,120,10.0,0.9303922800319994,24
